listing_id,sale_price,gr_liv_area,total_bsmt_sf,lot_area,bedroom_abv_gr,full_bath,half_bath,kitchen_abv_gr,overall_qual,overall_cond,year_built,year_remod_add,exter_qual,kitchen_qual,central_air,garage_cars,garage_area,fireplace_qu,bldg_type,house_style,neighborhood,overall,ms_zoning,foundation,baths_total,age,remod_age
13,180400,1465,789,8402,3,2,1,1,Above_Average,Average,1998,1998,Typical,Typical,Y,2,393,Good,OneFam,Two_Story,Gilbert,Above_Average,Residential_Low_Density,PConc,2.5,12,12
14,171500,1341,1300,10176,2,1,1,1,Good,Average,1990,1990,Typical,Good,Y,2,506,Poor,OneFam,One_Story,Gilbert,Good,Residential_Low_Density,PConc,1.5,20,20
15,212000,1502,1488,6820,1,1,1,1,Very_Good,Average,1985,1985,Good,Good,Y,2,528,No_Fireplace,TwnhsE,One_Story,Stone_Brook,Very_Good,Residential_Low_Density,PConc,1.5,25,25
16,538000,3279,1650,53504,4,3,1,1,Very_Good,Average,2003,2003,Excellent,Excellent,Y,3,841,Good,OneFam,Two_Story,Stone_Brook,Very_Good,Residential_Low_Density,PConc,3.5,7,7
17,164000,1752,559,12134,4,2,0,1,Very_Good,Good,1988,2005,Good,Typical,Y,2,492,No_Fireplace,OneFam,One_and_Half_Fin,Gilbert,Very_Good,Residential_Low_Density,Wood,2,22,5
18,394432,1856,1856,11394,1,1,1,1,Excellent,Poor,2010,2010,Good,Excellent,Y,3,834,Excellent,OneFam,One_Story,Stone_Brook,Excellent,Residential_Low_Density,PConc,1.5,0,0
19,141000,864,864,19138,2,1,0,1,Below_Average,Average,1951,1951,Typical,Typical,Y,2,400,No_Fireplace,OneFam,One_Story,Gilbert,Below_Average,Residential_Low_Density,CBlock,1,59,59
20,210000,2073,1542,13175,3,2,0,1,Above_Average,Above_Average,1978,1988,Typical,Typical,Y,2,500,Typical,OneFam,One_Story,Northwest_Ames,Above_Average,Residential_Low_Density,CBlock,2,32,22
21,190000,1844,1844,11751,3,2,0,1,Above_Average,Above_Average,1977,1977,Typical,Typical,Y,2,546,Typical,OneFam,One_Story,Northwest_Ames,Above_Average,Residential_Low_Density,CBlock,2,33,33
22,170000,1173,1053,10625,3,2,0,1,Good,Above_Average,1974,1974,Typical,Good,Y,2,528,Typical,OneFam,SFoyer,Northwest_Ames,Good,Residential_Low_Density,CBlock,2,36,36
23,216000,1674,814,7500,3,2,1,1,Good,Average,2000,2000,Good,Good,Y,2,663,No_Fireplace,OneFam,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,10,10
24,149000,1004,1004,11241,2,1,0,1,Above_Average,Good,1970,1970,Typical,Typical,Y,2,480,Typical,OneFam,One_Story,North_Ames,Above_Average,Residential_Low_Density,CBlock,1,40,40
25,149900,1078,1078,12537,3,1,1,1,Average,Above_Average,1971,2008,Typical,Typical,Y,2,500,Fair,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,CBlock,1.5,39,2
26,142000,1056,1056,8450,3,1,0,1,Average,Above_Average,1968,1968,Typical,Typical,Y,1,304,Fair,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,CBlock,1,42,42
27,126000,882,882,8400,2,1,0,1,Below_Average,Average,1970,1970,Typical,Typical,Y,2,525,No_Fireplace,OneFam,One_Story,North_Ames,Below_Average,Residential_Low_Density,CBlock,1,40,40
28,115000,864,864,10500,3,1,0,1,Below_Average,Average,1971,1971,Typical,Typical,Y,0,0,Poor,OneFam,One_Story,North_Ames,Below_Average,Residential_Low_Density,CBlock,1,39,39
29,184000,1337,1405,5858,2,2,0,1,Good,Average,1999,1999,Good,Good,Y,2,511,Fair,TwnhsE,One_Story,North_Ames,Good,Residential_High_Density,PConc,2,11,11
30,96000,987,483,1680,2,1,1,1,Above_Average,Average,1971,1971,Typical,Typical,Y,1,264,No_Fireplace,Twnhs,Two_Story,Briardale,Above_Average,Residential_Medium_Density,CBlock,1.5,39,39
31,105500,1092,525,1680,3,1,1,1,Average,Average,1971,1971,Typical,Typical,Y,1,320,No_Fireplace,Twnhs,Two_Story,Briardale,Average,Residential_Medium_Density,CBlock,1.5,39,39
32,88000,1092,525,1680,3,1,1,1,Above_Average,Average,1971,1971,Typical,Typical,Y,1,264,No_Fireplace,Twnhs,Two_Story,Briardale,Above_Average,Residential_Medium_Density,CBlock,1.5,39,39
33,127500,1069,1069,4043,2,2,0,1,Above_Average,Average,1977,1977,Typical,Typical,Y,2,440,Fair,TwnhsE,One_Story,Northpark_Villa,Above_Average,Residential_Low_Density,CBlock,2,33,33
34,149900,1456,855,2280,3,2,1,1,Above_Average,Above_Average,1975,1975,Typical,Good,Y,2,440,Typical,Twnhs,Two_Story,Northpark_Villa,Above_Average,Residential_Low_Density,CBlock,2.5,35,35
35,120000,836,836,2280,2,1,0,1,Good,Above_Average,1975,1975,Typical,Typical,Y,1,308,No_Fireplace,Twnhs,One_Story,Northpark_Villa,Good,Residential_Low_Density,CBlock,1,35,35
36,146000,1456,855,2280,3,2,1,1,Above_Average,Average,1978,1978,Typical,Typical,Y,2,440,Typical,Twnhs,Two_Story,Northpark_Villa,Above_Average,Residential_Low_Density,CBlock,2.5,32,32
37,376162,2334,1590,12858,3,2,1,1,Excellent,Average,2009,2010,Excellent,Excellent,Y,3,751,Good,OneFam,Two_Story,Northridge_Heights,Excellent,Residential_Low_Density,PConc,2.5,1,0
38,306000,1704,1704,11478,3,2,0,1,Very_Good,Average,2007,2008,Good,Good,Y,3,772,Good,OneFam,One_Story,Northridge_Heights,Very_Good,Residential_Low_Density,PConc,2,3,2
39,395192,1940,1930,10159,3,2,1,1,Excellent,Average,2009,2010,Excellent,Excellent,Y,3,606,Good,OneFam,One_Story,Northridge_Heights,Excellent,Residential_Low_Density,PConc,2.5,1,0
40,290941,1544,1544,12883,3,2,0,1,Very_Good,Average,2009,2010,Good,Good,Y,3,868,No_Fireplace,OneFam,One_Story,Northridge_Heights,Very_Good,Residential_Low_Density,PConc,2,1,0
41,220000,1541,1541,12182,3,2,0,1,Good,Average,2005,2005,Good,Good,Y,2,532,Good,OneFam,One_Story,Northridge_Heights,Good,Residential_Low_Density,PConc,2,5,5
42,275000,1698,1698,11520,3,2,0,1,Excellent,Average,2005,2005,Good,Excellent,Y,3,730,Good,OneFam,One_Story,Northridge_Heights,Excellent,Residential_Low_Density,PConc,2,5,5
43,259000,1822,1822,14122,3,2,0,1,Very_Good,Average,2005,2006,Good,Excellent,Y,3,678,Good,OneFam,One_Story,Northridge_Heights,Very_Good,Residential_Low_Density,PConc,2,5,4
44,214000,1535,1517,10171,3,2,0,1,Good,Average,2004,2004,Good,Good,Y,2,532,No_Fireplace,OneFam,One_Story,Northridge_Heights,Good,Residential_Low_Density,PConc,2,6,6
45,224000,1358,1358,6371,2,2,0,1,Good,Average,2009,2010,Good,Good,Y,2,484,Good,TwnhsE,One_Story,Northridge_Heights,Good,Residential_Low_Density,PConc,2,1,0
46,500000,2696,2846,14300,3,2,1,1,Excellent,Average,2003,2004,Excellent,Excellent,Y,3,958,Good,OneFam,One_Story,Northridge_Heights,Excellent,Residential_Low_Density,PConc,2.5,7,6
47,320000,2250,1671,13650,3,2,1,1,Very_Good,Average,2002,2002,Good,Good,Y,3,756,Excellent,OneFam,Two_Story,Northridge_Heights,Very_Good,Residential_Low_Density,PConc,2.5,8,8
48,319900,1752,1752,7658,2,2,0,1,Excellent,Average,2005,2005,Excellent,Excellent,Y,2,576,Good,TwnhsE,One_Story,Northridge_Heights,Excellent,Residential_Low_Density,PConc,2,5,5
49,205000,1370,1370,7132,2,2,0,1,Very_Good,Average,2006,2006,Good,Good,Y,2,484,Good,TwnhsE,One_Story,Northridge_Heights,Very_Good,Residential_Low_Density,PConc,2,4,4
50,175500,1626,764,2628,2,2,1,1,Good,Average,2003,2003,Good,Good,Y,2,474,No_Fireplace,Twnhs,Two_Story,Northridge_Heights,Good,Residential_Low_Density,PConc,2.5,7,7
51,199500,1324,1324,18494,3,2,0,1,Above_Average,Average,2005,2005,Good,Good,Y,2,430,No_Fireplace,OneFam,One_Story,Gilbert,Above_Average,Residential_Low_Density,PConc,2,5,5
52,160000,1145,1145,3203,2,2,0,1,Good,Average,2006,2006,Good,Good,Y,2,437,No_Fireplace,TwnhsE,One_Story,Bloomington_Heights,Good,Residential_Low_Density,PConc,2,4,4
53,192000,1269,1256,3182,2,2,0,1,Very_Good,Average,2004,2005,Good,Good,Y,2,430,Typical,TwnhsE,One_Story,Bloomington_Heights,Very_Good,Residential_Low_Density,PConc,2,6,5
54,184500,1374,384,13300,3,2,1,1,Good,Average,2004,2004,Good,Good,Y,2,400,Good,OneFam,SLvl,Gilbert,Good,Residential_Low_Density,PConc,2.5,6,6
55,216500,1960,860,7851,4,2,1,1,Above_Average,Average,2002,2002,Good,Good,Y,2,440,Typical,OneFam,Two_Story,Gilbert,Above_Average,Residential_Low_Density,PConc,2.5,8,8
56,185088,1733,847,8577,3,2,1,1,Good,Average,2004,2004,Good,Good,Y,2,433,Good,OneFam,Two_Story,Gilbert,Good,Residential_Low_Density,PConc,2.5,6,6
57,180000,1430,384,7750,3,2,1,1,Good,Average,2000,2000,Typical,Typical,Y,2,400,Typical,OneFam,SLvl,Gilbert,Good,Residential_Low_Density,PConc,2.5,10,10
58,222500,2035,884,9505,3,2,1,1,Good,Average,2001,2001,Good,Good,Y,2,434,Good,OneFam,Two_Story,Gilbert,Good,Residential_Low_Density,PConc,2.5,9,9
59,333168,2599,1393,14774,4,2,1,1,Excellent,Average,1999,1999,Good,Good,Y,3,779,Typical,OneFam,Two_Story,Northridge,Excellent,Residential_Low_Density,PConc,2.5,11,11
60,355000,2475,1629,17433,4,2,1,1,Very_Good,Average,1998,1998,Good,Good,Y,3,962,Typical,OneFam,Two_Story,Northridge,Very_Good,Residential_Low_Density,PConc,2.5,12,12
61,260400,1720,1720,10593,3,2,0,1,Good,Average,1996,1996,Good,Good,Y,2,527,Typical,OneFam,One_Story,Northridge,Good,Residential_Low_Density,PConc,2,14,14
62,325000,2622,1463,12256,3,2,1,1,Very_Good,Average,1994,1995,Good,Good,Y,2,712,Typical,OneFam,Two_Story,Northridge,Very_Good,Residential_Low_Density,PConc,2.5,16,15
63,290000,2270,1152,11764,4,2,1,1,Very_Good,Good,1999,2007,Good,Good,Y,3,671,Good,OneFam,Two_Story,Northridge,Very_Good,Residential_Low_Density,PConc,2.5,11,3
64,221000,1839,1195,16770,4,2,1,1,Good,Average,1998,1998,Good,Typical,Y,2,486,No_Fireplace,OneFam,Two_Story,Northridge,Good,Residential_Low_Density,PConc,2.5,12,12
65,410000,3238,2033,14720,4,2,1,1,Very_Good,Average,1995,1996,Good,Good,Y,3,666,Excellent,OneFam,One_and_Half_Fin,Northridge,Very_Good,Residential_Low_Density,PConc,2.5,15,14
66,221500,1595,1595,8987,2,2,0,1,Very_Good,Average,2005,2006,Good,Good,Y,3,880,Good,OneFam,One_Story,Somerset,Very_Good,Residential_Low_Density,PConc,2,5,4
67,204500,1218,1218,9215,2,2,0,1,Good,Average,2009,2010,Good,Good,Y,2,676,No_Fireplace,OneFam,One_Story,Somerset,Good,Floating_Village_Residential,PConc,2,1,0
68,215200,1547,756,8640,3,2,1,1,Good,Average,2009,2009,Typical,Good,Y,2,614,No_Fireplace,OneFam,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,1,1
69,262500,1566,1566,9000,3,2,0,1,Very_Good,Average,2008,2008,Good,Good,Y,2,750,No_Fireplace,OneFam,One_Story,Somerset,Very_Good,Floating_Village_Residential,PConc,2,2,2
70,254900,1947,991,12552,3,2,1,1,Good,Average,2004,2005,Good,Good,Y,2,678,Good,OneFam,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,6,5
71,271500,1468,1468,10440,2,2,0,1,Above_Average,Average,2005,2005,Good,Good,Y,2,528,Good,OneFam,One_Story,Somerset,Above_Average,Floating_Village_Residential,PConc,2,5,5
72,233000,2084,956,10142,4,2,1,1,Good,Average,2004,2004,Good,Good,Y,2,618,No_Fireplace,OneFam,Two_Story,Sawyer_West,Good,Residential_Low_Density,PConc,2.5,6,6
73,181000,1659,831,11920,3,2,1,1,Good,Average,2004,2004,Good,Good,Y,2,484,No_Fireplace,OneFam,Two_Story,Sawyer_West,Good,Residential_Low_Density,PConc,2.5,6,6
74,205000,2110,948,8880,3,2,1,1,Good,Average,1994,2002,Good,Good,Y,2,463,Fair,OneFam,Two_Story,Sawyer_West,Good,Residential_Low_Density,PConc,2.5,16,8
75,143000,923,923,8012,2,2,0,1,Above_Average,Average,1980,1980,Typical,Typical,Y,1,264,Typical,TwnhsE,One_Story,Sawyer_West,Above_Average,Residential_Low_Density,CBlock,2,30,30
76,189000,1845,1055,11218,3,2,1,1,Above_Average,Average,1992,1992,Good,Good,Y,2,462,Typical,OneFam,Two_Story,Sawyer_West,Above_Average,Residential_Low_Density,PConc,2.5,18,18
77,99500,918,918,7892,2,2,0,1,Above_Average,Average,1979,1979,Typical,Typical,Y,1,264,Typical,TwnhsE,One_Story,Sawyer_West,Above_Average,Residential_Low_Density,CBlock,2,31,31
78,125000,752,744,7175,2,1,0,1,Above_Average,Average,1984,1984,Typical,Typical,Y,1,264,No_Fireplace,TwnhsE,One_Story,Sawyer_West,Above_Average,Residential_Low_Density,CBlock,1,26,26
79,194500,1744,996,9453,3,2,1,1,Good,Good,1993,2003,Good,Good,Y,2,457,No_Fireplace,OneFam,Two_Story,Sawyer_West,Good,Residential_Low_Density,PConc,2.5,17,7
80,152000,1097,1040,9672,3,2,0,1,Above_Average,Average,1984,1985,Typical,Typical,Y,2,480,No_Fireplace,OneFam,One_Story,Sawyer_West,Above_Average,Residential_Low_Density,PConc,2,26,25
81,171000,1564,650,8400,3,2,1,1,Above_Average,Above_Average,1980,1981,Typical,Typical,Y,2,476,Typical,OneFam,Two_Story,Sawyer_West,Above_Average,Residential_Low_Density,CBlock,2.5,30,29
82,67500,1012,816,9800,2,1,0,1,Average,Average,1920,1950,Typical,Typical,N,1,429,No_Fireplace,OneFam,One_Story,Sawyer_West,Average,Residential_High_Density,BrkTil,1,90,60
83,112000,1902,0,8930,4,2,0,2,Above_Average,Average,1978,1978,Typical,Typical,Y,2,539,No_Fireplace,Duplex,One_and_Half_Fin,Sawyer,Above_Average,Residential_Medium_Density,Slab,2,32,32
84,148000,1155,1109,11782,3,1,0,1,Average,Good,1961,1995,Typical,Good,Y,2,576,No_Fireplace,OneFam,SFoyer,Sawyer,Average,Residential_Low_Density,CBlock,1,49,15
85,138500,894,894,8450,3,1,0,1,Average,Very_Good,1965,2009,Typical,Typical,Y,1,336,Good,OneFam,One_Story,Sawyer,Average,Residential_Low_Density,CBlock,1,45,1
86,122000,900,882,9819,3,1,0,1,Average,Average,1967,1967,Typical,Typical,Y,1,280,No_Fireplace,OneFam,One_Story,Sawyer,Average,Residential_Low_Density,CBlock,1,43,43
87,133000,1040,1040,7500,3,1,1,1,Average,Average,1963,1963,Typical,Typical,Y,1,308,No_Fireplace,OneFam,One_Story,Sawyer,Average,Residential_Low_Density,CBlock,1.5,47,47
88,127000,1040,1040,6897,3,1,1,1,Average,Very_Good,1962,2010,Typical,Typical,Y,1,260,No_Fireplace,OneFam,One_Story,Sawyer,Average,Residential_Low_Density,CBlock,1.5,48,0
89,169000,1494,1208,15410,3,2,0,1,Above_Average,Above_Average,1974,2002,Typical,Typical,Y,2,461,Fair,OneFam,One_Story,Sawyer,Above_Average,Residential_Low_Density,CBlock,2,36,8
90,190000,1923,750,10186,3,2,1,1,Good,Average,1992,1992,Good,Good,Y,2,564,Typical,OneFam,Two_Story,Northridge,Good,Residential_Low_Density,PConc,2.5,18,18
91,362500,2349,1231,13143,4,2,1,1,Very_Good,Average,1993,1993,Good,Good,Y,3,762,Typical,OneFam,Two_Story,Northridge,Very_Good,Residential_Low_Density,PConc,2.5,17,17
92,285000,2225,1390,11134,4,2,1,1,Very_Good,Average,1992,1993,Good,Good,Y,3,713,Typical,OneFam,Two_Story,Northridge,Very_Good,Residential_Low_Density,PConc,2.5,18,17
93,260000,1488,1488,4835,2,2,0,1,Good,Average,2004,2005,Good,Good,Y,2,506,Good,TwnhsE,One_Story,Somerset,Good,Floating_Village_Residential,PConc,2,6,5
94,190000,1680,840,3515,2,2,1,1,Good,Average,2004,2004,Good,Good,Y,2,588,No_Fireplace,TwnhsE,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,6,6
95,155000,1200,600,3215,2,2,1,1,Good,Average,2004,2004,Good,Good,Y,2,480,No_Fireplace,TwnhsE,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,6,6
96,151000,1200,600,3182,2,2,1,1,Good,Average,2004,2005,Good,Good,Y,2,480,No_Fireplace,TwnhsE,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,6,5
97,149500,1200,600,2544,2,2,1,1,Good,Average,2004,2005,Good,Good,Y,2,480,No_Fireplace,Twnhs,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,6,5
98,152000,1236,600,2544,2,2,1,1,Above_Average,Average,2005,2005,Good,Good,Y,2,480,No_Fireplace,Twnhs,Two_Story,Somerset,Above_Average,Floating_Village_Residential,PConc,2.5,5,5
99,222000,1478,1470,4403,2,2,1,1,Good,Average,2009,2009,Excellent,Good,Y,2,484,Good,OneFam,One_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,1,1
100,177500,1573,756,2117,3,2,1,1,Above_Average,Average,2000,2000,Good,Good,Y,2,440,No_Fireplace,Twnhs,Two_Story,Somerset,Above_Average,Floating_Village_Residential,PConc,2.5,10,10
101,177000,1512,756,2980,2,2,1,1,Above_Average,Average,2000,2000,Good,Good,Y,2,440,No_Fireplace,TwnhsE,Two_Story,Somerset,Above_Average,Floating_Village_Residential,PConc,2.5,10,10
102,155000,1416,696,2572,3,2,1,1,Good,Average,1999,1999,Good,Good,Y,2,484,No_Fireplace,Twnhs,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,11,11
103,147110,1080,530,2403,2,2,1,1,Good,Average,2003,2003,Good,Good,Y,2,496,No_Fireplace,TwnhsE,Two_Story,Somerset,Good,Floating_Village_Residential,PConc,2.5,7,7
104,267916,1418,1642,12853,1,1,1,1,Very_Good,Average,2010,2010,Good,Good,Y,3,852,Good,OneFam,One_Story,Somerset,Very_Good,Floating_Village_Residential,PConc,1.5,0,0
105,254000,1848,975,7379,3,2,1,1,Very_Good,Average,2000,2000,Good,Good,Y,2,592,Typical,OneFam,Two_Story,Somerset,Very_Good,Floating_Village_Residential,PConc,2.5,10,10
106,155000,788,728,4420,1,1,0,1,Very_Good,Average,1980,1980,Good,Good,Y,2,484,Typical,TwnhsE,One_Story,Greens,Very_Good,Residential_Low_Density,CBlock,1,30,30
107,206000,1226,1226,3880,1,1,0,1,Very_Good,Above_Average,1978,1978,Good,Good,Y,2,484,Typical,Twnhs,One_Story,Greens,Very_Good,Residential_Low_Density,CBlock,1,32,32
108,130500,1479,725,13517,3,2,1,1,Above_Average,Very_Good,1976,2005,Good,Good,Y,2,475,No_Fireplace,OneFam,Two_Story,Sawyer,Above_Average,Residential_Low_Density,CBlock,2.5,34,5
109,230000,1492,1492,8000,3,2,0,1,Good,Average,2002,2002,Good,Good,Y,2,596,Good,OneFam,One_Story,Somerset,Good,Floating_Village_Residential,PConc,2,8,8
110,218500,1829,1829,10456,4,2,0,1,Above_Average,Above_Average,1967,1967,Typical,Typical,Y,2,535,No_Fireplace,OneFam,One_Story,Northwest_Ames,Above_Average,Residential_Low_Density,CBlock,2,43,43
111,243500,2495,1280,10791,4,2,1,1,Above_Average,Average,1993,1993,Typical,Good,Y,2,660,Typical,OneFam,Two_Story,Northwest_Ames,Above_Average,Residential_Low_Density,PConc,2.5,17,17
112,205000,1610,1610,10603,3,2,0,1,Above_Average,Good,1977,2001,Typical,Good,Y,2,480,Typical,OneFam,One_Story,Northwest_Ames,Above_Average,Residential_Low_Density,PConc,2,33,9
113,212500,1891,1224,18837,3,3,0,1,Above_Average,Average,1978,1978,Typical,Typical,Y,2,678,Typical,OneFam,One_and_Half_Fin,Northwest_Ames,Above_Average,Residential_Low_Density,PConc,3,32,32
114,196500,1714,980,10421,3,2,1,1,Good,Average,1988,1988,Typical,Typical,Y,2,496,Typical,OneFam,Two_Story,Northwest_Ames,Good,Residential_Low_Density,CBlock,2.5,22,22
115,197500,1381,1161,9360,3,1,1,1,Above_Average,Good,1972,2006,Typical,Good,Y,2,676,Typical,OneFam,One_Story,Northwest_Ames,Above_Average,Residential_Low_Density,CBlock,1.5,38,4
116,171000,1645,715,9600,4,1,2,1,Above_Average,Above_Average,1971,1971,Typical,Typical,Y,2,441,No_Fireplace,OneFam,Two_Story,Northwest_Ames,Above_Average,Residential_Low_Density,CBlock,2,39,39
117,142250,1232,1232,9600,3,1,1,1,Average,Average,1966,1966,Typical,Typical,Y,2,490,No_Fireplace,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,CBlock,1.5,44,44
118,143000,1328,1328,9790,3,1,1,1,Above_Average,Average,1963,1963,Typical,Typical,Y,2,528,Good,OneFam,One_Story,Northwest_Ames,Above_Average,Residential_Low_Density,CBlock,1.5,47,47
119,128950,1225,950,9320,3,1,1,1,Below_Average,Average,1959,1959,Typical,Typical,Y,0,0,No_Fireplace,OneFam,One_Story,North_Ames,Below_Average,Residential_Low_Density,CBlock,1.5,51,51
120,159000,1209,1209,9900,3,1,0,1,Average,Average,1966,1966,Typical,Typical,Y,2,504,No_Fireplace,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,PConc,1,44,44
121,178900,1510,1510,9680,3,2,0,1,Average,Above_Average,1967,1967,Typical,Good,Y,2,517,No_Fireplace,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,CBlock,2,43,43
122,136300,1775,533,10600,3,2,0,1,Above_Average,Average,1964,1964,Typical,Typical,Y,2,480,No_Fireplace,OneFam,SLvl,North_Ames,Above_Average,Residential_Low_Density,CBlock,2,46,46
123,180500,1152,1152,14112,3,1,0,1,Average,Good,1964,1964,Typical,Typical,Y,2,484,Good,OneFam,SLvl,North_Ames,Average,Residential_Low_Density,PConc,1,46,46
124,137500,1054,936,8800,3,1,0,1,Above_Average,Good,1963,1963,Typical,Good,Y,2,480,No_Fireplace,OneFam,SFoyer,North_Ames,Above_Average,Residential_Low_Density,PConc,1,47,47
125,84900,1728,1728,13260,6,2,0,2,Average,Above_Average,1962,2001,Typical,Typical,Y,0,0,No_Fireplace,Duplex,One_Story,North_Ames,Average,Residential_Low_Density,CBlock,2,48,9
126,142125,1078,1078,9717,2,1,0,1,Average,Above_Average,1950,1996,Typical,Good,Y,1,240,No_Fireplace,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,CBlock,1,60,14
127,197600,2461,1140,9724,3,2,0,1,Average,Good,1952,2002,Good,Typical,Y,2,400,Good,OneFam,One_and_Half_Fin,North_Ames,Average,Residential_Low_Density,CBlock,2,58,8
128,172500,1556,782,17360,3,2,0,1,Above_Average,Above_Average,1949,1950,Typical,Typical,Y,2,470,Good,OneFam,One_and_Half_Fin,North_Ames,Above_Average,Residential_Low_Density,CBlock,2,61,60
129,116500,858,858,7207,2,1,0,1,Average,Good,1958,2008,Typical,Typical,Y,0,0,No_Fireplace,OneFam,One_Story,Brookside,Average,Residential_Low_Density,CBlock,1,52,2
130,76500,1306,728,5350,3,1,0,1,Fair,Poor,1940,1966,Typical,Fair,Y,0,0,No_Fireplace,OneFam,One_Story,Brookside,Fair,Residential_Low_Density,CBlock,1,70,44
131,128000,1063,1056,9920,3,1,0,1,Average,Average,1954,1954,Typical,Typical,Y,1,280,No_Fireplace,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,CBlock,1,56,56
132,153000,1520,1156,9600,3,1,0,1,Above_Average,Above_Average,1955,1972,Typical,Typical,Y,1,364,Good,OneFam,SLvl,North_Ames,Above_Average,Residential_Low_Density,CBlock,1,55,38
133,132000,1268,1268,7800,2,1,0,1,Average,Above_Average,1954,1954,Typical,Typical,Y,1,244,Good,OneFam,One_Story,North_Ames,Average,Residential_Low_Density,PConc,1,56,56
134,178000,1128,1080,11380,2,1,0,1,Above_Average,Very_Good,1966,2008,Typical,Good,Y,1,315,Good,OneFam,SFoyer,North_Ames,Above_Average,Residential_Low_Density,CBlock,1,44,2
135,154300,2274,1105,11600,5,2,0,2,Average,Average,1960,1960,Typical,Typical,Y,2,480,No_Fireplace,Duplex,Two_Story,North_Ames,Average,Residential_Low_Density,CBlock,2,50,50
136,180000,2207,1947,19900,3,2,0,1,Good,Average,1970,1989,Typical,Typical,Y,2,576,Good,OneFam,One_Story,North_Ames,Good,Residential_Low_Density,CBlock,2,40,21
137,190000,1888,1517,16492,2,2,1,1,Above_Average,Above_Average,1966,2002,Good,Good,Y,2,578,Good,OneFam,One_Story,North_Ames,Above_Average,Residential_Low_Density,CBlock,2.5,44,8
